experiment_version,input_order,input_key,input_label,state_order,state_key,model_id,model_revision,category,status,error,case_count,hit_case_count,successful_repetitions,ranking_stable,recall_at_5,mrr_at_5,ndcg_at_5,delta_recall_at_5,delta_mrr_at_5,delta_ndcg_at_5,recall_ci_lower,recall_ci_upper,mrr_ci_lower,mrr_ci_upper,ndcg_ci_lower,ndcg_ci_upper,category_guardrail_pass,all_category_guardrails_pass,eligible,clear_gain,production_safety,cold_load_ms,rerank_p50_ms,rerank_p95_ms,rss_before_load_mb,rss_after_load_mb,observed_peak_rss_mb,device,dtype
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,comparative,completed,,6,4,,,0.5,0.5833333333333334,0.46615601741437285,-0.08333333333333337,-0.08333333333333326,-0.07785533634772568,,,,,,,False,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,direct_fact,completed,,7,6,,,0.8571428571428571,0.7857142857142857,0.7929500775313779,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,food_knowledge,completed,,7,6,,,0.8571428571428571,0.5357142857142857,0.6166552264600209,0.0,-0.1785714285714286,-0.13789487116549193,,,,,,,False,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,guide_planning,completed,,2,1,,,0.5,0.25,0.31546487678572877,0.0,-0.25,-0.18453512321427123,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,holistic,completed,,3,2,,,0.6666666666666666,0.5,0.5436432511904858,-0.33333333333333337,-0.05555555555555547,-0.09626367852557671,,,,,,,False,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,numerical,completed,,2,2,,,1.0,0.75,0.8154648767857288,0.0,-0.25,-0.18453512321427123,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,relationship,completed,,14,14,,,0.9642857142857143,0.8333333333333333,0.8260173957743077,-0.0357142857142857,-0.059523809523809645,-0.0733871466216065,,,,,,,False,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,spanning,completed,,3,3,,,0.4444444444444444,1.0,0.6081295867966462,0.16666666666666669,0.2666666666666666,0.21043230165300958,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,temporal,completed,,1,1,,,0.5,0.3333333333333333,0.3065735963827292,0.0,-0.6666666666666667,-0.3065735963827292,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),1,no-rerank,,,overall,completed,,45,40,,,0.837037037037037,0.7211111111111111,0.7163617882034018,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),1,no-rerank,,,comparative,completed,,6,4,,,0.4166666666666667,0.5333333333333333,0.39720214790806674,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),1,no-rerank,,,direct_fact,completed,,7,7,,,1.0,0.6785714285714286,0.7694232098333684,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),1,no-rerank,,,food_knowledge,completed,,7,6,,,0.8571428571428571,0.8571428571428571,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),1,no-rerank,,,guide_planning,completed,,2,2,,,1.0,0.41666666666666663,0.5654648767857288,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),1,no-rerank,,,holistic,completed,,3,3,,,1.0,0.6666666666666666,0.7606168944595301,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),1,no-rerank,,,numerical,completed,,2,2,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),1,no-rerank,,,relationship,completed,,14,14,,,1.0,0.869047619047619,0.8586955762164405,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),1,no-rerank,,,spanning,completed,,3,1,,,0.05555555555555555,0.3333333333333333,0.11305340175787204,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),1,no-rerank,,,temporal,completed,,1,1,,,1.0,0.5,0.6934264036172708,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,overall,completed,,45,42,3,True,0.8740740740740741,0.7203703703703703,0.7228494289329331,0.03703703703703709,-0.0007407407407408195,0.006487640729531341,-0.044444444444444446,0.12222222222222222,-0.12666666666666668,0.1281666666666664,-0.08912622953686426,0.10569435670849076,,False,False,False,,,231.579686,487.659172,,,,cpu,float32
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,comparative,completed,,6,6,,,0.75,0.8055555555555555,0.6794398818442785,0.3333333333333333,0.27222222222222214,0.28223773393621177,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,direct_fact,completed,,7,6,,,0.8571428571428571,0.7857142857142857,0.7814816188382618,-0.1428571428571429,0.1071428571428571,0.012058409004893411,,,,,,,False,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,food_knowledge,completed,,7,7,,,1.0,0.5833333333333333,0.6880837978885923,0.1428571428571429,-0.27380952380952384,-0.1690590592542648,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,guide_planning,completed,,2,2,,,1.0,0.6666666666666666,0.75,0.0,0.25,0.18453512321427123,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,holistic,completed,,3,3,,,1.0,0.611111111111111,0.7103099178571526,0.0,-0.05555555555555558,-0.050306976602377484,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,numerical,completed,,2,2,,,1.0,0.75,0.8154648767857288,0.0,-0.25,-0.18453512321427123,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,relationship,completed,,14,14,,,1.0,0.8630952380952381,0.8632537852931925,0.0,-0.00595238095238082,0.004558209076751973,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,spanning,completed,,3,1,,,0.1111111111111111,0.3333333333333333,0.1843821566693812,0.05555555555555555,0.0,0.07132875491150917,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,2,dense__huydang-dek21-embedding-768,Dense HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,temporal,completed,,1,1,,,0.5,0.25,0.2640681225725909,-0.5,-0.25,-0.42935828104467993,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),1,no-rerank,,,overall,completed,,45,44,,,0.9111111111111111,0.7674074074074073,0.7655350138681917,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),1,no-rerank,,,comparative,completed,,6,6,,,0.75,0.6527777777777778,0.5640885274128523,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),1,no-rerank,,,direct_fact,completed,,7,7,,,1.0,0.7976190476190476,0.8296988390587775,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),1,no-rerank,,,food_knowledge,completed,,7,7,,,1.0,0.9047619047619048,0.9110307593340071,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),1,no-rerank,,,guide_planning,completed,,2,2,,,1.0,0.625,0.7153382790366966,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),1,no-rerank,,,holistic,completed,,3,3,,,1.0,0.6666666666666666,0.7606168944595301,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),1,no-rerank,,,numerical,completed,,2,2,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),1,no-rerank,,,relationship,completed,,14,14,,,1.0,0.8035714285714286,0.8307682576866561,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),1,no-rerank,,,spanning,completed,,3,2,,,0.16666666666666666,0.39999999999999997,0.20547787754288813,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),1,no-rerank,,,temporal,completed,,1,1,,,1.0,1.0,0.9197207891481876,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,overall,completed,,45,42,3,True,0.8407407407407408,0.7229629629629629,0.7050303922959046,-0.0703703703703703,-0.0444444444444444,-0.06050462157228709,-0.14814814814814814,-0.007407407407407406,-0.16,0.07260185185185172,-0.14963832010987724,0.024343936290752443,,False,False,False,False,,248.26522,481.0170854,,,,cpu,float32
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,comparative,completed,,6,6,,,0.6666666666666666,0.8055555555555555,0.6399069297160626,-0.08333333333333337,0.15277777777777768,0.07581840230321024,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,direct_fact,completed,,7,6,,,0.8571428571428571,0.7857142857142857,0.7814816188382618,-0.1428571428571429,-0.011904761904761862,-0.048217220220515666,,,,,,,False,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,food_knowledge,completed,,7,6,,,0.8571428571428571,0.5476190476190477,0.626558575306679,-0.1428571428571429,-0.3571428571428571,-0.2844721840273281,,,,,,,False,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,guide_planning,completed,,2,2,,,1.0,0.6,0.6934264036172708,0.0,-0.025000000000000022,-0.02191187541942574,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,holistic,completed,,3,3,,,1.0,0.5833333333333334,0.6872021038816168,0.0,-0.08333333333333326,-0.07341479057791322,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,numerical,completed,,2,2,,,1.0,0.75,0.8154648767857288,0.0,-0.25,-0.18453512321427123,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,relationship,completed,,14,14,,,0.9642857142857143,0.8333333333333333,0.819945185230002,-0.0357142857142857,0.029761904761904656,-0.010823072456654037,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,spanning,completed,,3,2,,,0.27777777777777773,0.6666666666666666,0.4026517092537581,0.11111111111111108,0.26666666666666666,0.19717383171086997,,,,,,,True,,,,,,,,,,,,
phase8-08c-v1,3,hybrid-bm25-weighted__huydang-dek21-embedding-768,Hybrid BM25 Weighted + HuyDang (768d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,temporal,completed,,1,1,,,0.5,0.25,0.2640681225725909,-0.5,-0.75,-0.6556526665755966,,,,,,,True,,,,,,,,,,,,
